"apgroup_num","apgroup_name","apmean_bno2","apmean_bpm25"
199,"W01000910",3.67,5.613
200,"E01008362",15.963,7.652
201,"E01024302",9.273,8.542
202,"E01030318",11.907,9.127
203,"E01014300",15.341,9.308
204,"E01024383",16.405,11.015
205,"E01030399",17.673,10.991
206,"E01021016",7.337,8.663
207,"W01000992",3.435,5.701
208,"E01013075",8.865,8.834
209,"W01000913",8.696,10.781
210,"W01000554",3.288,5.194
211,"E01021097",6.044,8.267
212,"E01013074",7.918,8.8
213,"E01027029",5.297,7.928
214,"E01027028",5.611,8.092
215,"W01000557",2.39,5.046
216,"E01024378",6.809,8.435
217,"W01000990",6.526,6.634
218,"W01000555",1.971,5.02
219,"E01021096",5.389,7.759
220,"W01000937",10.791,7.803
221,"W01000934",8.841,7.108
222,"E01030331",14.197,10.739
223,"W01000936",5.286,6.216
224,"E01030333",15.408,10.117
225,"E01030330",14.683,10.322
226,"E01030335",13.601,9.966
227,"E01030332",14.919,10.312
228,"W01000935",7.569,6.808
229,"W01000932",9.278,6.881
230,"E01002463",14.393,9.712
231,"E01007129",14.2,8.573
232,"E01026947",3.978,8.318
233,"E01000143",24.87,12.556
234,"E01019850",6.783,8.249
235,"E01033258",15.922,8.681
236,"E01023752",8.244,9.164
237,"E01010011",22.211,11.04
238,"E01010295",12.526,9.459
239,"E01000471",35.808,13.828
240,"E01032527",13.349,9.395
241,"E01010214",15.584,8.766
242,"E01030579",14.418,9.698
243,"E01010217",10.036,8.47
244,"E01032526",4.802,8.828
245,"E01002272",15.97,10.544
246,"E01030578",16.993,9.723
247,"E01002275",13.551,10.158
248,"E01030571",8.146,8.528
249,"E01010296",11.688,8.592
250,"E01030570",9.797,8.851
251,"E01010297",10.603,8.475
252,"E01030573",8.569,8.595
253,"E01010216",18.229,9.319
254,"E01030572",8.954,8.713
255,"E01018452",7.737,7.507
256,"E01005173",20.283,10.05
257,"E01032525",5.102,8.575
258,"E01002273",13.726,10.161
259,"E01007511",10.104,8.529
260,"E01032524",4.82,8.761
261,"E01004276",27.951,12.088
262,"E01023433",9.514,8.998
263,"E01024139",20.909,11.605
264,"E01025436",5.722,6.468
265,"E01002289",15.077,10.338
266,"E01001501",22.15,12.946
267,"E01002208",16.593,10.779
268,"E01001589",21.473,11.712
269,"E01004201",26.804,13.305
270,"E01004280",30.78,12.637
271,"E01004281",36.142,12.699
272,"E01004200",28.871,13.613
273,"E01004202",27.437,13.434
274,"E01004203",30.26,13.804
